,0,1,2,3,4,5,6,7,8,9,10,11
0,911.265625,10.7310766403,115.156005859,57.3446181787,941,882,57.3446181787,40.8373066439,51.7092482025,92.5465548463,1.26622572476,0
1,911.5,10.7953259562,116.5390625,57.9920217803,941,882,57.9920217803,46.0213345198,46.9550998404,92.9764343602,1.0202898358,0
2,912.0,11.5754994493,133.9921875,66.7296072194,950,882,66.7296072194,67.2435407181,57.1269048819,124.3704456,0.849552303044,0
3,915.25,22.4029155469,501.890625,250.745709849,1029,843,250.745709849,193.826436577,491.11034777,684.936784347,2.53376348677,0
4,918.0703125,22.9752528528,527.862243652,263.446932049,1029,843,263.446932049,250.693494587,493.311902273,744.00539686,1.967789005,0
5,921.0078125,23.5312279528,553.718688965,276.476049424,1029,843,276.476049424,267.3602258,486.632537461,753.992763261,1.82013811518,0
6,926.43359375,25.9772189179,674.81590271,337.124929138,1029,843,337.124929138,437.541058558,504.576134784,942.117193342,1.15320865303,0
7,935.390625,30.2628418958,915.839599609,457.605492122,1029,843,457.605492122,723.557663238,542.07479945,1265.63246269,0.749179819373,0
8,944.25390625,34.5693650559,1195.04100037,597.101235928,1029,843,597.101235928,1090.67791411,568.470527013,1659.14844113,0.521208433449,0
9,954.23046875,35.9020696187,1288.95860291,644.168678149,1029,843,644.168678149,1090.00981863,566.121015888,1656.13083451,0.519372400334,0
10,963.73828125,34.7922104723,1210.49790955,604.865585042,1029,843,604.865585042,833.947338608,613.51913089,1447.4664695,0.735680902722,0
11,971.1875,28.7450403331,826.27734375,412.466407357,1019,911,412.466407357,808.002339712,109.546930178,917.54926989,0.135577491294,0
12,978.05078125,25.5023237179,650.368515015,324.667123327,1029,911,324.667123327,612.561330993,149.338113438,761.899444431,0.243792916533,0
13,984.54296875,18.9775285848,360.146591187,179.531095604,1029,911,179.531095604,267.711660444,133.654858166,401.36651861,0.499249296592,0
14,988.16796875,14.1572885027,200.428817749,99.8997709986,1029,950,99.8997709986,58.652573229,138.566629589,197.219202818,2.36249872701,0
