,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1031.1875,11.1248244368,123.76171875,0.0107883623849,1058,990,36.7556684531,0,1063.81143368,33.5956125047,70.3512809578,0.914025344079,0
1,1026.19921875,15.1599338105,229.82359314,0.01477289549,1088,980,99.3695276788,0,7810.83900867,108.041554063,207.411081742,1.08727048006,0
2,1028.4921875,15.1391958659,229.195251465,0.0147197966595,1088,980,117.044281734,0,6691.32217788,103.242549058,220.286830792,0.882081102368,0
3,1033.56640625,9.91858874588,98.37840271,0.00959646974389,1058,1000,16.6579538864,26,369.317912251,28.3573620598,45.0153159461,1.70233164609,0
4,1033.828125,12.1331218771,147.212646484,0.0117361112391,1068,970,36.9745371533,19,697.963995517,68.6015497016,105.576086855,1.85537277768,0
5,1034.52734375,12.0503190754,145.210189819,0.0116481397502,1068,970,39.6703151636,19,528.062631143,63.3031347562,102.97344992,1.59573057323,0
6,1033.8671875,10.0388861852,100.77923584,0.00971003462205,1058,1009,15.8912707143,19,337.687863079,29.2920903511,45.1833610654,1.84328181664,0
7,1032.8203125,9.5903871091,91.9755249023,0.00928562983612,1058,1009,12.5443682309,4,233.944021746,24.6101396236,37.1545078545,1.96184767304,0
8,1032.31640625,9.85666238313,97.153793335,0.00954810203873,1058,1000,22.6418297411,17,565.870397689,28.9232181522,51.5650478933,1.27742406346,0
9,1032.82421875,10.7028562637,114.551132202,0.0103627084546,1058,1000,46.2491723432,7,1010.07398484,40.1584421795,86.4076145226,0.868306180302,0
10,1033.48828125,10.1099357155,102.210800171,0.00978234189868,1058,1000,32.5662389285,19,452.411529681,36.1157811059,68.6820200344,1.10899453834,0
11,1033.75390625,9.52740621136,90.7714691162,0.00921631942937,1058,1009,17.8510957627,22,368.818475855,22.3972932256,40.2483889883,1.25467329979,0
12,1033.86328125,9.99027160459,99.8055267334,0.00966304905665,1058,1009,12.0858288682,22,541.330666958,28.6705348953,40.7563637636,2.37224398988,0
13,1034.53515625,10.2052536244,104.147201538,0.00986457885238,1058,1000,17.9308433984,7,360.701001315,37.7356409503,55.6664843487,2.10451009536,0
14,1035.0390625,10.5422530382,111.139099121,0.0101853673162,1068,1000,14.295447906,14,324.964002044,34.4775589116,48.7730068176,2.41178584528,0
15,1034.72265625,10.6549776722,113.528549194,0.0102974237665,1068,1000,9.12125052785,14,482.941095059,29.4023099655,38.5235604934,3.22349549283,0
16,1033.984375,10.6073267537,112.515380859,0.0102586915336,1058,1009,11.4701534212,30,555.024131009,34.2493294681,45.7194828893,2.98595216737,0
17,1033.74609375,10.7566287872,115.705062866,0.0104054843373,1058,1000,15.5341743875,30,441.660292088,39.4636270815,54.997801469,2.54043929836,0
18,1033.96484375,10.7929164403,116.487045288,0.0104383785441,1068,1000,27.0121499717,11,915.748799084,36.7794017494,63.7915517211,1.36158735191,0
19,1032.578125,18.7729481964,352.423583984,0.0181806564965,1098,921,151.567120295,7,3236.97353145,295.281358374,446.84847867,1.94818874832,0
20,1025.578125,19.2601877972,370.954833984,0.0187798348344,1098,921,159.980815963,0,2914.99003514,291.463541286,451.444357249,1.82186557514,0
21,1024.81640625,18.9572268432,359.376449585,0.0184981687721,1117,921,135.142362247,0,3282.59173038,289.814622088,424.956984335,2.14451351352,0
22,1028.25,18.1989869224,331.203125,0.0176989904424,1117,921,110.225222224,12,3364.2054082,284.896114272,395.121336497,2.58467262323,0
23,1027.28125,9.70779124917,94.2412109375,0.00944998387654,1058,1000,18.1081232726,0,504.005675206,25.6812609724,43.789384245,1.41821770184,0
24,1027.55859375,9.41846613162,88.7075042725,0.00916586770711,1049,1000,19.8372194569,15,378.302332958,26.3458463904,46.1830658473,1.32810177594,0
25,1027.2109375,9.45024168321,89.3070678711,0.00919990367919,1049,1000,15.2523470776,14,254.60789067,22.4933811297,37.7457282073,1.47474883802,0
26,1027.6015625,9.83881014445,96.8021850586,0.00957453793717,1049,1000,15.1564356387,6,251.153133288,21.966797079,37.1232327176,1.4493379316,0
