,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1004.4140625,8.51517702377,72.5082397461,0.00847775568033,1029,980,15.995135104,4,204.004103301,16.6582703324,32.6534054363,1.0414585575,0
1,1005.01953125,9.77179102213,95.4878997803,0.00972298618912,1029,980,17.8234414759,10,288.355202377,26.0785578905,43.9019993664,1.46316063178,0
2,1005.07421875,9.32896820807,87.0296478271,0.00928186996943,1029,980,11.7872620313,25,408.604665725,26.6643941067,38.4516561381,2.26213636685,0
3,1004.1328125,9.29748881902,86.4432983398,0.00925922218982,1029,980,9.47178375135,14,217.484541778,19.0884620796,28.5602458309,2.0152974963,0
4,1005.0703125,9.53216888501,90.8622436523,0.00948408162738,1039,980,12.8526025617,9,359.369927284,21.0740526275,33.9266551893,1.63967200622,0
5,1004.875,9.26561182545,85.8515625,0.00922066110258,1039,980,12.2759091801,22,379.255506482,33.6253907606,45.9012999408,2.73913648816,0
6,1002.625,221.641919828,49125.140625,0.221061633041,2500,58,18169.1361928,12,527381.203226,40234.8223641,58403.958557,2.21445983656,0
7,1015.08203125,419.74361258,176184.700302,0.413507085791,2549,-117,72616.2443132,12,1856503.8305,136845.731678,209461.975992,1.88450577378,0
8,1021.421875,453.688263868,205833.040771,0.444173240237,2764,-117,65748.6830819,18,1871449.42971,187915.360754,253664.043836,2.85808554553,1
9,1016.40234375,307.993668504,94860.0998383,0.303023374943,2764,-29,21330.9073025,18,950269.261287,79968.1032971,101299.0106,3.74893117124,1
10,1015.00390625,206.87111964,42795.660141,0.203813126596,2480,0,3737.38954526,11,170778.604679,16037.9872871,19775.3768324,4.29122709658,1
11,1010.2890625,163.811207661,26834.1117554,0.162142909135,2480,0,1284.14709457,26,131765.074393,12988.947268,14273.0943625,10.1148437924,1
12,1008.75390625,9.74308570814,94.9277191162,0.00965853579131,1029,980,18.7969480764,7,436.035810115,33.7411019321,52.5380500085,1.79503086326,1
13,1009.3203125,9.39700217635,88.3036499023,0.00931022794248,1039,980,20.5956467083,6,279.639252174,21.4481361128,42.043782821,1.0413917279,1
14,1008.1484375,90.6930425463,8225.22796631,0.0899600090352,2147,558,1054.42138267,21,35571.1274462,5870.07015834,6924.491541,5.56710083354,0
15,1007.37109375,131.871263959,17390.0302582,0.130906341047,2147,558,4539.28645766,11,137835.665888,12957.2629487,17496.5494064,2.85447130724,0
16,1010.78125,202.136592799,40859.2021484,0.199980552468,2519,-88,9875.70696541,12,486119.219785,51108.3695466,60984.076512,5.17516059616,0
17,1006.5546875,178.158913815,31740.5985718,0.176998742371,2519,-88,6750.18259962,17,244032.434562,42884.2125952,49634.3951948,6.3530448195,0
18,999.14453125,10.1899253907,103.834579468,0.0101986500171,1019,970,17.9061178277,23,430.054145617,43.4552084988,61.3613263266,2.42683583996,0
19,996.84765625,10.4270266678,108.722885132,0.010460000184,1029,970,12.2003938978,0,442.754150874,39.9086050942,52.1089989921,3.2710915261,0
20,996.49609375,10.4533928579,109.273422241,0.0104901493578,1029,960,11.4149286139,30,613.170892294,45.2406782293,56.6556068432,3.96329050838,0
21,995.41796875,103.16230911,10642.4620209,0.103637177898,1745,264,764.399934726,24,44280.7674889,11096.262055,11860.6619897,14.5163042943,0
22,993.99609375,103.118958082,10633.519516,0.103741814209,1745,264,770.390069502,25,47505.8422095,11084.7452276,11855.1352971,14.3884840504,0
23,992.68359375,9.66213839349,93.356918335,0.00973335154759,1019,970,21.7167163604,2,377.658836795,26.2980901982,48.0148065586,1.21096070703,0
24,989.7265625,9.179388293,84.2611694336,0.00927467104632,1019,970,9.96219007241,26,443.510560948,26.8613044205,36.8234944929,2.69632522821,0
25,987.921875,8.73132773319,76.2360839844,0.00883807510912,1009,960,9.91045146646,26,263.586131314,19.0362022349,28.9466537014,1.92082089291,0
26,987.60546875,9.03879493311,81.6998138428,0.00915223256565,1009,960,4.39323474321,12,315.210969284,22.0256949134,26.4189296566,5.01354837627,0
27,987.52734375,9.39951141386,88.3508148193,0.00951822901244,1009,960,6.54331819289,19,350.789512891,28.5274577568,35.0707759497,4.3597845796,0
28,987.953125,9.09400504367,82.7009277344,0.00920489526634,1009,960,9.23743465194,24,241.218630254,23.3173063411,32.554740993,2.52421881395,0
29,987.79296875,8.55543215224,73.1954193115,0.00866115919317,1019,960,9.21436678469,24,178.810840126,15.9829595339,25.1973263186,1.73456949429,0
30,986.58203125,8.90362403036,79.274520874,0.0090247174065,1019,960,9.04186629751,19,334.113490964,19.9032798994,28.9451461969,2.20123581178,0
31,985.76171875,9.64333984136,92.9940032959,0.00978262764513,1009,960,8.76279714214,13,286.61511928,28.0624244648,36.825221607,3.20245054286,0
32,985.18359375,9.40502921766,88.454574585,0.0095464736495,1009,960,10.3358793101,12,751.654492174,27.0184491177,37.3543284278,2.61404456332,0
33,984.44140625,9.34852952461,87.3950042725,0.00949627826019,1009,960,10.2677989582,12,503.571170127,20.3072010816,30.5750000398,1.9777560083,0
34,983.2734375,9.21506480897,84.9174194336,0.00937182319539,1009,960,4.93459929086,15,178.841249707,18.4033331556,23.3379324464,3.7294483444,0
35,984.34375,10.5507978816,111.319335938,0.0107186111372,1009,960,13.7249639905,0,414.417007841,27.900061729,41.6250257194,2.03279671614,0
36,989.796875,11.3212047828,128.169677734,0.0114379071795,1019,960,31.2564844157,0,1671.73385849,36.0319919302,67.2884763459,1.15278453747,0
37,992.64453125,9.48532014314,89.9712982178,0.00955560610523,1019,970,21.038459176,4,273.999167557,22.9415690845,43.9800282604,1.09045861641,0
38,990.72265625,9.67868724024,93.6769866943,0.00976932058551,1019,970,15.5801888522,29,436.530023389,27.5636680948,43.143856947,1.76914852292,0
39,989.9609375,8.96381819434,80.3500366211,0.00905471908515,1019,970,8.17298211539,18,220.010355289,24.2796190235,32.4526011389,2.97071725849,0
40,989.703125,9.01895519084,81.3415527344,0.00911278843425,1019,960,9.39609389535,26,258.423446525,25.635715164,35.0318090594,2.72833748253,0
